,yield1,group
422212,-0.278486919,training
2163607,0.440545817,training
3848142,-1.645715179,training
143058,0.638056061,training
60900,0.257466884,training
3830162,-1.805257719,training
13469,2.339712848,training
1649008,-1.20229442,training
3830034,-2.006636401,training
1302311,-0.892656473,training
2200733,0.204334902,training
3827759,-2.126582421,training
168060,-0.434926565,training
1831374,0.414558056,training
428988,0.094780729,training
609307,1.19920765,training
107059,1.259384262,training
85244,0.907828733,training
342253,1.076411202,training
692876,-0.85955893,training
1636586,-0.384001628,training
168912,-0.450848242,training
1987795,0.077132506,training
3889,2.336096876,training
1301936,-1.04376989,training
1343502,-0.704397905,training
1630957,0.152864312,training
2588696,0.040280541,training
2167,0.341815127,training
1766370,-0.358307054,training
433740,-0.395224171,training
295091,0.609291168,training
170862,0.323262912,training
438273,-1.233323367,training
1630947,0.133668714,training
295146,1.003969605,training
609448,1.153511213,training
431424,0.771415382,training
353782,-0.4672097,training
2485890,-2.064190619,training
16004,-0.485240695,training
480143,0.202347746,training
65038,0.33457504,training
3855675,-1.669406309,training
393298,-0.151805745,training
460960,-0.381265217,training
1295300,-0.854232701,training
376790,-1.064928211,training
412450,-0.371948389,training
2485043,-1.357154113,training
342336,0.561314389,training
457982,-1.102276965,training
458835,0.881148724,training
15292,-1.127238572,training
653215,1.166810497,training
770505,-0.471574928,training
1478148,-0.880179742,training
78690,-0.722958265,training
371007,-1.156353661,training
1637620,0.296908667,training
1402346,-0.162702525,training
430154,0.869437536,training
2430154,0.559522691,training
85741,0.620521855,training
422983,0.411675051,training
1478078,0.125092997,training
144880,1.72531526,training
1541045,-0.317448201,training
2464236,0.091058884,training
214589,0.623722479,training
454059,1.548043056,training
107052,1.200111643,training
878573,0.087312607,training
30709,0.345105336,training
67055,-0.934574057,training
3830083,-1.821179396,training
64873,0.160755926,training
3868812,-2.132503167,training
355411,0.893902355,training
536162,0.398147733,training
126114,1.671474743,training
2600794,-0.277648079,training
294897,0.504745605,training
15200,-0.40152769,training
413235,-0.454749257,training
294745,0.374236712,training
305029,1.270818551,training
2620837,-0.706295476,training
143808,0.037535986,training
876108,0.549358879,training
429726,0.36149937,training
692864,-0.987640886,training
414940,1.195550958,training
1210458,-1.530232115,training
369682,1.300006936,training
82710,-0.059907939,training
2621094,-0.692996192,training
376770,0.552209307,training
1082612,1.481839825,training
86783,-1.081134932,training
390604,0.852253526,training
2484320,-1.397597618,training
390845,0.463976337,training
89762,1.319104805,training
62221,1.083260374,training
222693,-0.973934398,training
85637,0.149215764,training
909641,0.615659839,training
1491661,-0.267622716,training
1195398,-0.610822418,training
2163596,0.71858473,training
41669,-0.280189032,training
692904,-1.43238913,training
2464628,-0.35608372,training
4937014,0.222276312,training
106875,1.617992565,training
143023,-0.135460575,training
423200,1.345279881,training
3863169,-2.148791329,training
106844,0.600617722,training
1298199,-1.01373452,training
1291474,-0.013551832,training
3827757,-1.21925854,training
3578468,-1.702479421,training
1093268,0.393733642,training
321833,1.026414691,training
3830114,-1.842272565,training
413317,-0.769851881,training
126309,-0.853540454,training
743034,0.029961991,training
107017,1.738524959,training
1507248,-0.200816822,training
39359,1.495049524,training
377191,0.812233514,training
421340,1.008522146,training
520702,-0.151577711,training
3826179,-1.449247377,training
431742,-1.657556672,training
294910,-0.34744285,training
1298211,-0.017623872,training
86394,0.108348767,training
2668072,-0.291427864,training
2448315,0.011328335,training
1399978,-1.505009897,training
1301796,-0.598541145,training
4066585,-1.052125717,training
41660,-1.275265382,training
1306534,-0.958965578,training
292703,0.642038516,training
3855646,-1.602975044,training
20934,0.434111993,training
434148,1.180109781,training
2099196,1.687876921,training
420213,-0.756006944,training
42237,-1.092259746,training
433924,-0.430691643,training
1812547,0.262190451,training
85888,0.103739218,training
775,1.67162948,training
455538,0.893796482,training
96619,0.703550758,training
13098,0.89101935,training
3855110,-1.743444147,training
2031157,0.728031864,training
41484,0.282216745,training
419528,1.062566265,training
1672866,-0.491755959,training
373045,-0.665941556,training
1311265,-0.879609656,training
85899,0.852628154,training
42174,-0.365522709,training
294940,-0.428965098,training
2151597,0.577415236,training
85646,1.96339117,training
222490,0.822315886,training
1298205,-0.951635905,training
669426,1.50597888,training
367751,1.836253927,training
2487807,-2.076976826,training
1437563,-0.551834842,training
412956,0.406967773,training
217562,-0.482284394,training
429101,-1.681247803,training
133128,0.324842863,training
420125,0.301453064,training
730613,-0.860454779,training
3895,0.617410817,training
1816173,-0.050240915,training
1066175,0.208789714,training
85685,1.711380738,training
31089,-1.401018132,training
96413,0.107485495,training
3881,0.998317613,training
430174,0.174861474,training
70761,-0.135403566,training
64869,0.52587135,training
369673,1.219136215,training
2484313,-1.063144658,training
321840,1.094442197,training
1393230,-0.140526193,training
1290408,-0.336269172,training
464211,0.902209317,training
377246,1.112774522,training
1815932,-0.263876439,training
168979,0.200645633,training
167864,0.065331733,training
294881,0.732445956,training
62150,1.122970911,training
217726,-0.630873145,training
342284,0.958330177,training
1047493,0.654661841,training
1507236,-1.286243603,training
1817540,0.079649027,training
321487,0.590209587,training
421442,0.846169898,training
43789,-0.67020091,training
4062993,-1.248503933,training
2485050,-0.817421456,training
675238,0.418499791,training
107131,0.186100305,training
376804,-0.154615453,training
2464631,-0.140656498,training
41471,0.748286193,training
3830130,-1.509114514,training
393281,1.147631187,training
421018,0.561705305,training
13302,1.17418089,training
450770,0.93406896,training
168939,0.325942314,training
784135,-0.053172784,training
1766332,-0.555393806,training
294818,0.514005425,training
19630,-0.519046774,training
358856,1.40401499,training
1541043,0.35441402,training
42066,0.139231121,training
1651705,-0.265073619,training
295191,0.107982284,training
85587,0.475850407,training
1500224,-0.189520982,training
97120,-0.430341447,training
701166,-0.948679604,training
3830032,-1.503560251,training
1101307,0.849134343,training
2460025,-0.086099302,training
624629,0.1956696,training
423133,-0.800392184,training
2484301,-2.025921584,training
85331,-0.016524421,training
68460,1.047271681,training
77534,0.859933394,training
438770,0.342629535,training
1563730,0.980278474,training
2601500,0.294286273,training
3826178,-1.221897222,training
3864287,-2.268729204,training
77587,1.492850622,training
220399,-0.881059303,training
377276,0.13729283,training
1982528,-0.731957474,training
86230,0.268111197,training
