,yield5,group
422212,-0.688412498,training
2163607,-0.747554364,training
3848142,0.840339449,training
143058,-0.456840389,training
60900,0.613385094,training
3830162,1.27163139,training
13469,0.435259359,training
1649008,1.680385229,training
3830034,-0.764664441,training
1302311,0.502779263,training
2200733,0.067632638,training
3827759,1.744813519,training
168060,-0.328825546,training
1831374,0.914105514,training
428988,-1.694178224,training
609307,0.509812095,training
107059,-0.313572011,training
85244,0.011582386,training
342253,0.962469998,training
692876,-0.708220853,training
1636586,0.731102424,training
168912,-1.775472723,training
1987795,1.191587696,training
3889,0.719585572,training
1301936,-0.408570305,training
1343502,-0.194501608,training
1630957,0.184649831,training
2588696,0.495943099,training
2167,-1.053569074,training
1766370,0.324842329,training
433740,-1.469324279,training
295091,0.572218642,training
170862,-0.413219526,training
438273,-2.007540434,training
1630947,0.516365057,training
295146,0.276084509,training
609448,0.129582917,training
431424,-0.802621278,training
353782,-0.124118225,training
2485890,1.469549747,training
16004,-0.266851667,training
480143,-0.255885485,training
65038,-1.061435776,training
3855675,1.454925548,training
393298,1.300148185,training
460960,0.36951733,training
1295300,0.1184358,training
376790,0.447924749,training
412450,-0.554820163,training
2485043,1.705550809,training
342336,-0.407712834,training
457982,-2.062607348,training
458835,0.200383235,training
15292,-1.337557019,training
653215,-0.874208267,training
770505,-0.098551443,training
1478148,1.103480633,training
78690,-1.428024093,training
371007,2.290306374,training
1637620,0.759572019,training
1402346,-0.81048798,training
430154,0.05615512,training
2430154,0.095677431,training
85741,0.501937526,training
422983,0.690085439,training
1478078,-2.3110614,training
144880,-0.08753806,training
1541045,0.34647576,training
2464236,0.126491303,training
214589,0.394297441,training
454059,0.268563942,training
107052,-0.720020907,training
878573,-0.501184988,training
30709,-0.836448097,training
67055,-0.856209253,training
3830083,0.905436408,training
64873,-2.581809685,training
3868812,1.264551358,training
355411,0.189306919,training
536162,-0.321674714,training
126114,-0.015164401,training
2600794,-0.109368159,training
294897,-0.532533796,training
15200,-0.961111725,training
413235,1.578629438,training
294745,-1.020347991,training
305029,-0.841954789,training
2620837,2.506900282,training
143808,-0.687248226,training
876108,-0.76590738,training
429726,-0.6964208,training
692864,-1.244344466,training
414940,-0.683834077,training
1210458,1.40661613,training
369682,0.80577316,training
82710,-1.102869696,training
2621094,2.298173076,training
376770,0.189849721,training
1082612,1.613242927,training
86783,-0.670201082,training
390604,0.706739247,training
2484320,1.781063282,training
390845,-0.81048798,training
89762,-0.550100142,training
62221,-0.075509873,training
222693,-0.531220057,training
85637,-0.646357108,training
909641,-0.218699584,training
1491661,0.331198624,training
1195398,2.167058753,training
2163596,0.158422247,training
41669,-0.533186732,training
692904,-1.64750508,training
2464628,1.33908836,training
4937014,0.381317383,training
106875,-0.380179377,training
143023,-0.899649182,training
423200,0.770719135,training
3863169,1.787883713,training
106844,-0.599400764,training
1298199,-0.147852065,training
1291474,-0.072984661,training
3827757,1.974914555,training
3578468,1.329254982,training
1093268,-0.687122359,training
321833,0.781732518,training
3830114,1.456302221,training
413317,-1.451624199,training
126309,-1.480471395,training
743034,-0.301653957,training
107017,0.340410532,training
1507248,1.235609761,training
39359,-0.032471146,training
377191,-0.264326456,training
421340,0.085002316,training
520702,-0.458272129,training
3826179,2.593174403,training
431742,-2.213388427,training
294910,-1.789892388,training
1298211,-0.016934409,training
86394,-1.366404215,training
2668072,0.754985731,training
2448315,-0.158535046,training
1399978,0.840205715,training
1301796,0.17928474,training
4066585,0.554384829,training
41660,-1.255939985,training
1306534,0.626019018,training
292703,-0.04531747,training
3855646,1.568599393,training
20934,-0.541336636,training
434148,-0.666527333,training
2099196,0.023382439,training
420213,-2.486095521,training
42237,-1.365090476,training
433924,-0.588599782,training
1812547,0.598635028,training
85888,-1.035868995,training
775,0.050915896,training
455538,0.119096603,training
96619,-0.114984984,training
13098,0.692406116,training
3855110,0.114526049,training
2031157,-0.987488777,training
41484,-1.624691644,training
419528,1.459055566,training
1672866,-0.973722048,training
373045,-0.12229315,training
1311265,0.004502354,training
85899,-0.539086759,training
42174,-1.011088883,training
294940,-1.024194809,training
2151597,0.062715949,training
85646,-0.24015208,training
222490,1.154873797,training
1298205,0.312066805,training
669426,-0.248018782,training
367751,1.556602672,training
2487807,0.43461429,training
1437563,-0.217535312,training
412956,-0.165064409,training
217562,-0.122151549,training
429101,-1.653538841,training
133128,-0.222168799,training
420125,0.249550123,training
730613,-1.202037342,training
3895,0.003353815,training
1816173,1.023436939,training
1066175,-0.550532811,training
85685,-0.117376461,training
31089,-0.879321623,training
96413,-0.969135761,training
3881,-0.114284847,training
430174,0.048288418,training
70761,-0.984247696,training
64869,-2.090140806,training
369673,0.489358669,training
2484313,1.918470967,training
321840,0.729198682,training
1393230,-0.098748111,training
1290408,0.205032456,training
464211,-0.521386679,training
377246,-0.433672951,training
1815932,-0.123559689,training
168979,-0.934569472,training
167864,-0.80889104,training
294881,-0.886535389,training
62150,-0.335858378,training
217726,-0.418222748,training
342284,-1.776786462,training
1047493,1.270254717,training
1507236,1.190281824,training
1817540,0.152199685,training
321487,-0.42809546,training
421442,0.605518392,training
43789,-0.983555426,training
4062993,1.659656469,training
2485050,1.431522109,training
675238,0.289866971,training
107131,0.130896656,training
376804,0.781771852,training
2464631,0.538368223,training
41471,-0.954055293,training
3830130,1.367605155,training
393281,1.185294334,training
